Jugador,Puesto,Equipo,Cotizacion,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,PCG,AcG,PrG,PCT,AcT,PrT,G,GJ,GP,GV,GR,GC,VF,VI,TA,TR,PE,PA
"Tripichio, Nicolás",VOL,Vélez Sarsfield,800,0,0,4,0,0,0,0,0,5,5,0,0,0,0,0,3,14,4.67,3,14,4.67,0,0,0,0,0,0,0,0,0,0,0,0
"Vera, Leandro",VOL,Vélez Sarsfield,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Villalba, Leonardo",VOL,Vélez Sarsfield,600,4,0,0,0,0,0,6,3,5,5,3,4,0,0,0,6,26,4.33,7,30,4.29,0,0,0,0,0,0,0,0,2,0,0,0
"Arario, Alan",DEL,Vélez Sarsfield,1600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caraglio, Milton",DEL,Vélez Sarsfield,4000000,17,5,2,6,11,4,5,8,6,4,0,4,0,0,0,9,50,5.56,11,72,6.55,4,2,2,1,0,0,1,0,2,0,0,0
"Cáseres, Ramiro",DEL,Vélez Sarsfield,1500000,0,0,0,4,5,0,0,0,0,5,0,0,0,0,0,3,14,4.67,3,14,4.67,0,0,0,0,0,0,0,0,0,0,0,0
"Nanni, Roberto",DEL,Vélez Sarsfield,4800000,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,4,4,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"Pavone, Mariano",DEL,Vélez Sarsfield,5400000,6,4,4,9,5,6,4,3,24,5,4,2,25,9,4,13,104,8,15,114,7.6,6,6,0,4,0,0,2,0,2,0,0,0
"Vázquez, Federico",DEL,Vélez Sarsfield,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vélez Cedeño, Jairo",DEL,Vélez Sarsfield,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
